representative,n,g,avoidance,certificate_avoidance,status,seconds,stdout
12357486,12,2428876,476572724,476572724,PASS,0.146219,tau=12357486 n=12 g_4=2428876 Av_12=476572724
12357648,11,84190,39832610,39832610,PASS,0.007983,tau=12357648 n=11 g_3=84190 Av_11=39832610
12357648,12,2424367,476577233,476577233,PASS,0.187937,tau=12357648 n=12 g_4=2424367 Av_12=476577233
12357684,11,84108,39832692,39832692,PASS,0.007643,tau=12357684 n=11 g_3=84108 Av_11=39832692
12357684,12,2420440,476581160,476581160,PASS,0.151640,tau=12357684 n=12 g_4=2420440 Av_12=476581160
12357846,11,84197,39832603,39832603,PASS,0.007070,tau=12357846 n=11 g_3=84197 Av_11=39832603
12357846,12,2425098,476576502,476576502,PASS,0.151313,tau=12357846 n=12 g_4=2425098 Av_12=476576502
12357864,11,84194,39832606,39832606,PASS,0.007148,tau=12357864 n=11 g_3=84194 Av_11=39832606
12357864,12,2424827,476576773,476576773,PASS,0.158382,tau=12357864 n=12 g_4=2424827 Av_12=476576773
12358467,11,84275,39832525,39832525,PASS,0.007753,tau=12358467 n=11 g_3=84275 Av_11=39832525
12358467,12,2428683,476572917,476572917,PASS,0.159318,tau=12358467 n=12 g_4=2428683 Av_12=476572917
12358476,11,84191,39832609,39832609,PASS,0.010488,tau=12358476 n=11 g_3=84191 Av_11=39832609
12358476,12,2424461,476577139,476577139,PASS,0.152583,tau=12358476 n=12 g_4=2424461 Av_12=476577139
12358647,11,84364,39832436,39832436,PASS,0.006792,tau=12358647 n=11 g_3=84364 Av_11=39832436
12358647,12,2433390,476568210,476568210,PASS,0.147851,tau=12358647 n=12 g_4=2433390 Av_12=476568210
12358674,11,84194,39832606,39832606,PASS,0.007177,tau=12358674 n=11 g_3=84194 Av_11=39832606
12358674,12,2424826,476576774,476576774,PASS,0.169440,tau=12358674 n=12 g_4=2424826 Av_12=476576774
12358746,11,84279,39832521,39832521,PASS,0.007561,tau=12358746 n=11 g_3=84279 Av_11=39832521
12358746,12,2429100,476572500,476572500,PASS,0.158969,tau=12358746 n=12 g_4=2429100 Av_12=476572500
12358764,11,84108,39832692,39832692,PASS,0.010328,tau=12358764 n=11 g_3=84108 Av_11=39832692
12358764,12,2420391,476581209,476581209,PASS,0.148564,tau=12358764 n=12 g_4=2420391 Av_12=476581209
12365478,11,83922,39832878,39832878,PASS,0.007210,tau=12365478 n=11 g_3=83922 Av_11=39832878
12365478,12,2410171,476591429,476591429,PASS,0.209141,tau=12365478 n=12 g_4=2410171 Av_12=476591429
12365748,11,84190,39832610,39832610,PASS,0.007703,tau=12365748 n=11 g_3=84190 Av_11=39832610
12365748,12,2424374,476577226,476577226,PASS,0.191908,tau=12365748 n=12 g_4=2424374 Av_12=476577226
12365784,11,84110,39832690,39832690,PASS,0.007797,tau=12365784 n=11 g_3=84110 Av_11=39832690
12365784,12,2420628,476580972,476580972,PASS,0.160091,tau=12365784 n=12 g_4=2420628 Av_12=476580972
12365847,11,84194,39832606,39832606,PASS,0.007374,tau=12365847 n=11 g_3=84194 Av_11=39832606
12365847,12,2424766,476576834,476576834,PASS,0.152097,tau=12365847 n=12 g_4=2424766 Av_12=476576834
12365874,11,84111,39832689,39832689,PASS,0.007945,tau=12365874 n=11 g_3=84111 Av_11=39832689
12365874,12,2420712,476580888,476580888,PASS,0.152731,tau=12365874 n=12 g_4=2420712 Av_12=476580888
12367458,11,84109,39832691,39832691,PASS,0.007655,tau=12367458 n=11 g_3=84109 Av_11=39832691
12367458,12,2420464,476581136,476581136,PASS,0.145707,tau=12367458 n=12 g_4=2420464 Av_12=476581136
12367485,11,84200,39832600,39832600,PASS,0.007421,tau=12367485 n=11 g_3=84200 Av_11=39832600
12367485,12,2425399,476576201,476576201,PASS,0.150589,tau=12367485 n=12 g_4=2425399 Av_12=476576201
12367548,11,84107,39832693,39832693,PASS,0.007867,tau=12367548 n=11 g_3=84107 Av_11=39832693
12367548,12,2420279,476581321,476581321,PASS,0.153153,tau=12367548 n=12 g_4=2420279 Av_12=476581321
12367584,11,84196,39832604,39832604,PASS,0.007116,tau=12367584 n=11 g_3=84196 Av_11=39832604
12367584,12,2425024,476576576,476576576,PASS,0.149756,tau=12367584 n=12 g_4=2425024 Av_12=476576576
12367845,11,84022,39832778,39832778,PASS,0.007089,tau=12367845 n=11 g_3=84022 Av_11=39832778
12367845,12,2416063,476585537,476585537,PASS,0.150395,tau=12367845 n=12 g_4=2416063 Av_12=476585537
12367854,11,84022,39832778,39832778,PASS,0.006748,tau=12367854 n=11 g_3=84022 Av_11=39832778
12367854,12,2416064,476585536,476585536,PASS,0.149525,tau=12367854 n=12 g_4=2416064 Av_12=476585536
12368475,11,84281,39832519,39832519,PASS,0.007179,tau=12368475 n=11 g_3=84281 Av_11=39832519
12368475,12,2429279,476572321,476572321,PASS,0.156547,tau=12368475 n=12 g_4=2429279 Av_12=476572321
12368547,11,84278,39832522,39832522,PASS,0.007800,tau=12368547 n=11 g_3=84278 Av_11=39832522
12368547,12,2428987,476572613,476572613,PASS,0.155827,tau=12368547 n=12 g_4=2428987 Av_12=476572613
12368574,11,84192,39832608,39832608,PASS,0.007569,tau=12368574 n=11 g_3=84192 Av_11=39832608
12368574,12,2424605,476576995,476576995,PASS,0.162920,tau=12368574 n=12 g_4=2424605 Av_12=476576995
12368745,11,84112,39832688,39832688,PASS,0.010228,tau=12368745 n=11 g_3=84112 Av_11=39832688
12368745,12,2420836,476580764,476580764,PASS,0.153199,tau=12368745 n=12 g_4=2420836 Av_12=476580764
12368754,11,84110,39832690,39832690,PASS,0.007649,tau=12368754 n=11 g_3=84110 Av_11=39832690
12368754,12,2420620,476580980,476580980,PASS,0.151823,tau=12368754 n=12 g_4=2420620 Av_12=476580980
12375648,11,84104,39832696,39832696,PASS,0.007470,tau=12375648 n=11 g_3=84104 Av_11=39832696
12375648,12,2419967,476581633,476581633,PASS,0.152672,tau=12375648 n=12 g_4=2419967 Av_12=476581633
12375684,11,84198,39832602,39832602,PASS,0.007954,tau=12375684 n=11 g_3=84198 Av_11=39832602
12375684,12,2425220,476576380,476576380,PASS,0.162667,tau=12375684 n=12 g_4=2425220 Av_12=476576380
12375846,11,84280,39832520,39832520,PASS,0.007414,tau=12375846 n=11 g_3=84280 Av_11=39832520
12375846,12,2429186,476572414,476572414,PASS,0.150361,tau=12375846 n=12 g_4=2429186 Av_12=476572414
12375864,11,84192,39832608,39832608,PASS,0.009294,tau=12375864 n=11 g_3=84192 Av_11=39832608
12375864,12,2424615,476576985,476576985,PASS,0.174960,tau=12375864 n=12 g_4=2424615 Av_12=476576985
12376548,11,83922,39832878,39832878,PASS,0.007651,tau=12376548 n=11 g_3=83922 Av_11=39832878
12376548,12,2410175,476591425,476591425,PASS,0.151525,tau=12376548 n=12 g_4=2410175 Av_12=476591425
12376584,11,84109,39832691,39832691,PASS,0.008022,tau=12376584 n=11 g_3=84109 Av_11=39832691
12376584,12,2420500,476581100,476581100,PASS,0.204233,tau=12376584 n=12 g_4=2420500 Av_12=476581100
12376845,11,84112,39832688,39832688,PASS,0.007033,tau=12376845 n=11 g_3=84112 Av_11=39832688
12376845,12,2420838,476580762,476580762,PASS,0.148398,tau=12376845 n=12 g_4=2420838 Av_12=476580762
12376854,11,84108,39832692,39832692,PASS,0.007472,tau=12376854 n=11 g_3=84108 Av_11=39832692
12376854,12,2420416,476581184,476581184,PASS,0.206837,tau=12376854 n=12 g_4=2420416 Av_12=476581184
12378564,11,84019,39832781,39832781,PASS,0.007233,tau=12378564 n=11 g_3=84019 Av_11=39832781
12378564,12,2415738,476585862,476585862,PASS,0.211663,tau=12378564 n=12 g_4=2415738 Av_12=476585862
12378645,11,84024,39832776,39832776,PASS,0.009043,tau=12378645 n=11 g_3=84024 Av_11=39832776
12378645,12,2416253,476585347,476585347,PASS,0.203880,tau=12378645 n=12 g_4=2416253 Av_12=476585347
12378654,11,84017,39832783,39832783,PASS,0.007330,tau=12378654 n=11 g_3=84017 Av_11=39832783
12378654,12,2415537,476586063,476586063,PASS,0.195404,tau=12378654 n=12 g_4=2415537 Av_12=476586063
12385674,11,84023,39832777,39832777,PASS,0.007399,tau=12385674 n=11 g_3=84023 Av_11=39832777
12385674,12,2416159,476585441,476585441,PASS,0.148415,tau=12385674 n=12 g_4=2416159 Av_12=476585441
12385764,11,84190,39832610,39832610,PASS,0.010596,tau=12385764 n=11 g_3=84190 Av_11=39832610
12385764,12,2424420,476577180,476577180,PASS,0.170417,tau=12385764 n=12 g_4=2424420 Av_12=476577180
12386574,11,84193,39832607,39832607,PASS,0.010350,tau=12386574 n=11 g_3=84193 Av_11=39832607
12386574,12,2424726,476576874,476576874,PASS,0.150487,tau=12386574 n=12 g_4=2424726 Av_12=476576874
12386754,11,84018,39832782,39832782,PASS,0.007197,tau=12386754 n=11 g_3=84018 Av_11=39832782
12386754,12,2415634,476585966,476585966,PASS,0.156731,tau=12386754 n=12 g_4=2415634 Av_12=476585966
12435768,11,83921,39832879,39832879,PASS,0.009955,tau=12435768 n=11 g_3=83921 Av_11=39832879
12435768,12,2410083,476591517,476591517,PASS,0.145339,tau=12435768 n=12 g_4=2410083 Av_12=476591517
12435786,11,84011,39832789,39832789,PASS,0.010395,tau=12435786 n=11 g_3=84011 Av_11=39832789
12435786,12,2414896,476586704,476586704,PASS,0.166737,tau=12435786 n=12 g_4=2414896 Av_12=476586704
12436578,11,83921,39832879,39832879,PASS,0.006949,tau=12436578 n=11 g_3=83921 Av_11=39832879
12436578,12,2410078,476591522,476591522,PASS,0.157896,tau=12436578 n=12 g_4=2410078 Av_12=476591522
12436758,11,84097,39832703,39832703,PASS,0.007055,tau=12436758 n=11 g_3=84097 Av_11=39832703
12436758,12,2419268,476582332,476582332,PASS,0.186010,tau=12436758 n=12 g_4=2419268 Av_12=476582332
12436785,11,84019,39832781,39832781,PASS,0.007073,tau=12436785 n=11 g_3=84019 Av_11=39832781
12436785,12,2415707,476585893,476585893,PASS,0.189147,tau=12436785 n=12 g_4=2415707 Av_12=476585893
12436857,11,84099,39832701,39832701,PASS,0.010447,tau=12436857 n=11 g_3=84099 Av_11=39832701
12436857,12,2419484,476582116,476582116,PASS,0.175847,tau=12436857 n=12 g_4=2419484 Av_12=476582116
12436875,11,84101,39832699,39832699,PASS,0.010430,tau=12436875 n=11 g_3=84101 Av_11=39832699
12436875,12,2419688,476581912,476581912,PASS,0.151794,tau=12436875 n=12 g_4=2419688 Av_12=476581912
12437658,11,83921,39832879,39832879,PASS,0.007250,tau=12437658 n=11 g_3=83921 Av_11=39832879
12437658,12,2410068,476591532,476591532,PASS,0.154264,tau=12437658 n=12 g_4=2410068 Av_12=476591532
12437685,11,84101,39832699,39832699,PASS,0.006852,tau=12437685 n=11 g_3=84101 Av_11=39832699
12437685,12,2419693,476581907,476581907,PASS,0.150045,tau=12437685 n=12 g_4=2419693 Av_12=476581907
12437856,11,84018,39832782,39832782,PASS,0.010942,tau=12437856 n=11 g_3=84018 Av_11=39832782
12437856,12,2415598,476586002,476586002,PASS,0.186127,tau=12437856 n=12 g_4=2415598 Av_12=476586002
12437865,11,84017,39832783,39832783,PASS,0.009814,tau=12437865 n=11 g_3=84017 Av_11=39832783
12437865,12,2415500,476586100,476586100,PASS,0.180149,tau=12437865 n=12 g_4=2415500 Av_12=476586100
12438675,11,84015,39832785,39832785,PASS,0.007254,tau=12438675 n=11 g_3=84015 Av_11=39832785
12438675,12,2415293,476586307,476586307,PASS,0.154251,tau=12438675 n=12 g_4=2415293 Av_12=476586307
12453768,11,84101,39832699,39832699,PASS,0.006635,tau=12453768 n=11 g_3=84101 Av_11=39832699
12453768,12,2419648,476581952,476581952,PASS,0.161383,tau=12453768 n=12 g_4=2419648 Av_12=476581952
12453786,11,84113,39832687,39832687,PASS,0.006965,tau=12453786 n=11 g_3=84113 Av_11=39832687
12453786,12,2420861,476580739,476580739,PASS,0.192500,tau=12453786 n=12 g_4=2420861 Av_12=476580739
12456378,11,84115,39832685,39832685,PASS,0.007019,tau=12456378 n=11 g_3=84115 Av_11=39832685
12456378,12,2421083,476580517,476580517,PASS,0.198507,tau=12456378 n=12 g_4=2421083 Av_12=476580517
12456738,11,84111,39832689,39832689,PASS,0.007159,tau=12456738 n=11 g_3=84111 Av_11=39832689
12456738,12,2420766,476580834,476580834,PASS,0.154299,tau=12456738 n=12 g_4=2420766 Av_12=476580834
12456783,11,84019,39832781,39832781,PASS,0.006856,tau=12456783 n=11 g_3=84019 Av_11=39832781
12456783,12,2415739,476585861,476585861,PASS,0.186097,tau=12456783 n=12 g_4=2415739 Av_12=476585861
12456837,11,84290,39832510,39832510,PASS,0.007557,tau=12456837 n=11 g_3=84290 Av_11=39832510
12456837,12,2430227,476571373,476571373,PASS,0.173010,tau=12456837 n=12 g_4=2430227 Av_12=476571373
12456873,11,84110,39832690,39832690,PASS,0.007032,tau=12456873 n=11 g_3=84110 Av_11=39832690
12456873,12,2420660,476580940,476580940,PASS,0.159101,tau=12456873 n=12 g_4=2420660 Av_12=476580940
12457368,11,84368,39832432,39832432,PASS,0.006879,tau=12457368 n=11 g_3=84368 Av_11=39832432
12457368,12,2433751,476567849,476567849,PASS,0.173010,tau=12457368 n=12 g_4=2433751 Av_12=476567849
12457386,11,84379,39832421,39832421,PASS,0.007103,tau=12457386 n=11 g_3=84379 Av_11=39832421
12457386,12,2434880,476566720,476566720,PASS,0.152805,tau=12457386 n=12 g_4=2434880 Av_12=476566720
12457638,11,84203,39832597,39832597,PASS,0.007418,tau=12457638 n=11 g_3=84203 Av_11=39832597
12457638,12,2425723,476575877,476575877,PASS,0.187277,tau=12457638 n=12 g_4=2425723 Av_12=476575877
12457683,11,84111,39832689,39832689,PASS,0.006728,tau=12457683 n=11 g_3=84111 Av_11=39832689
12457683,12,2420749,476580851,476580851,PASS,0.148062,tau=12457683 n=12 g_4=2420749 Av_12=476580851
12457836,11,84297,39832503,39832503,PASS,0.006681,tau=12457836 n=11 g_3=84297 Av_11=39832503
12457836,12,2430906,476570694,476570694,PASS,0.180087,tau=12457836 n=12 g_4=2430906 Av_12=476570694
12457863,11,84203,39832597,39832597,PASS,0.006643,tau=12457863 n=11 g_3=84203 Av_11=39832597
12457863,12,2425728,476575872,476575872,PASS,0.156635,tau=12457863 n=12 g_4=2425728 Av_12=476575872
12458367,11,84304,39832496,39832496,PASS,0.007503,tau=12458367 n=11 g_3=84304 Av_11=39832496
12458367,12,2431526,476570074,476570074,PASS,0.154204,tau=12458367 n=12 g_4=2431526 Av_12=476570074
12458376,11,84294,39832506,39832506,PASS,0.011439,tau=12458376 n=11 g_3=84294 Av_11=39832506
12458376,12,2430553,476571047,476571047,PASS,0.159127,tau=12458376 n=12 g_4=2430553 Av_12=476571047
12458637,11,84381,39832419,39832419,PASS,0.006522,tau=12458637 n=11 g_3=84381 Av_11=39832419
12458637,12,2435106,476566494,476566494,PASS,0.161186,tau=12458637 n=12 g_4=2435106 Av_12=476566494
12458673,11,84201,39832599,39832599,PASS,0.007072,tau=12458673 n=11 g_3=84201 Av_11=39832599
12458673,12,2425530,476576070,476576070,PASS,0.149844,tau=12458673 n=12 g_4=2425530 Av_12=476576070
12458736,11,84303,39832497,39832497,PASS,0.008234,tau=12458736 n=11 g_3=84303 Av_11=39832497
12458736,12,2431468,476570132,476570132,PASS,0.157358,tau=12458736 n=12 g_4=2431468 Av_12=476570132
12458763,11,84115,39832685,39832685,PASS,0.007662,tau=12458763 n=11 g_3=84115 Av_11=39832685
12458763,12,2421151,476580449,476580449,PASS,0.156155,tau=12458763 n=12 g_4=2421151 Av_12=476580449
12463578,11,84190,39832610,39832610,PASS,0.007981,tau=12463578 n=11 g_3=84190 Av_11=39832610
12463578,12,2424338,476577262,476577262,PASS,0.155485,tau=12463578 n=12 g_4=2424338 Av_12=476577262
12463758,11,84366,39832434,39832434,PASS,0.006988,tau=12463758 n=11 g_3=84366 Av_11=39832434
12463758,12,2433539,476568061,476568061,PASS,0.148706,tau=12463758 n=12 g_4=2433539 Av_12=476568061
12463785,11,84375,39832425,39832425,PASS,0.007765,tau=12463785 n=11 g_3=84375 Av_11=39832425
12463785,12,2434464,476567136,476567136,PASS,0.181412,tau=12463785 n=12 g_4=2434464 Av_12=476567136
12463857,11,84375,39832425,39832425,PASS,0.007502,tau=12463857 n=11 g_3=84375 Av_11=39832425
12463857,12,2434457,476567143,476567143,PASS,0.162255,tau=12463857 n=12 g_4=2434457 Av_12=476567143
12463875,11,84373,39832427,39832427,PASS,0.007325,tau=12463875 n=11 g_3=84373 Av_11=39832427
12463875,12,2434234,476567366,476567366,PASS,0.178048,tau=12463875 n=12 g_4=2434234 Av_12=476567366
12465378,11,84194,39832606,39832606,PASS,0.007076,tau=12465378 n=11 g_3=84194 Av_11=39832606
12465378,12,2424749,476576851,476576851,PASS,0.155573,tau=12465378 n=12 g_4=2424749 Av_12=476576851
12465738,11,84201,39832599,39832599,PASS,0.007594,tau=12465738 n=11 g_3=84201 Av_11=39832599
12465738,12,2425530,476576070,476576070,PASS,0.153928,tau=12465738 n=12 g_4=2425530 Av_12=476576070
12465783,11,84111,39832689,39832689,PASS,0.007222,tau=12465783 n=11 g_3=84111 Av_11=39832689
12465783,12,2420749,476580851,476580851,PASS,0.164793,tau=12465783 n=12 g_4=2420749 Av_12=476580851
12465837,11,84293,39832507,39832507,PASS,0.006957,tau=12465837 n=11 g_3=84293 Av_11=39832507
12465837,12,2430500,476571100,476571100,PASS,0.154578,tau=12465837 n=12 g_4=2430500 Av_12=476571100
12465873,11,84112,39832688,39832688,PASS,0.006977,tau=12465873 n=11 g_3=84112 Av_11=39832688
12465873,12,2420855,476580745,476580745,PASS,0.155112,tau=12465873 n=12 g_4=2420855 Av_12=476580745
12467358,11,84293,39832507,39832507,PASS,0.010439,tau=12467358 n=11 g_3=84293 Av_11=39832507
12467358,12,2430455,476571145,476571145,PASS,0.183393,tau=12467358 n=12 g_4=2430455 Av_12=476571145
12467385,11,84299,39832501,39832501,PASS,0.009978,tau=12467385 n=11 g_3=84299 Av_11=39832501
12467385,12,2431115,476570485,476570485,PASS,0.177801,tau=12467385 n=12 g_4=2431115 Av_12=476570485
12467538,11,84289,39832511,39832511,PASS,0.006698,tau=12467538 n=11 g_3=84289 Av_11=39832511
12467538,12,2430096,476571504,476571504,PASS,0.156988,tau=12467538 n=12 g_4=2430096 Av_12=476571504
12467583,11,84283,39832517,39832517,PASS,0.006552,tau=12467583 n=11 g_3=84283 Av_11=39832517
12467583,12,2429551,476572049,476572049,PASS,0.158222,tau=12467583 n=12 g_4=2429551 Av_12=476572049
12467835,11,84202,39832598,39832598,PASS,0.008733,tau=12467835 n=11 g_3=84202 Av_11=39832598
12467835,12,2425660,476575940,476575940,PASS,0.143601,tau=12467835 n=12 g_4=2425660 Av_12=476575940
12467853,11,84201,39832599,39832599,PASS,0.006537,tau=12467853 n=11 g_3=84201 Av_11=39832599
12467853,12,2425533,476576067,476576067,PASS,0.148631,tau=12467853 n=12 g_4=2425533 Av_12=476576067
12468357,11,84379,39832421,39832421,PASS,0.007365,tau=12468357 n=11 g_3=84379 Av_11=39832421
12468357,12,2434900,476566700,476566700,PASS,0.147171,tau=12468357 n=12 g_4=2434900 Av_12=476566700
12468375,11,84466,39832334,39832334,PASS,0.006951,tau=12468375 n=11 g_3=84466 Av_11=39832334
12468375,12,2439384,476562216,476562216,PASS,0.152021,tau=12468375 n=12 g_4=2439384 Av_12=476562216
12468537,11,84465,39832335,39832335,PASS,0.006987,tau=12468537 n=11 g_3=84465 Av_11=39832335
12468537,12,2439292,476562308,476562308,PASS,0.146259,tau=12468537 n=12 g_4=2439292 Av_12=476562308
12468573,11,84285,39832515,39832515,PASS,0.006508,tau=12468573 n=11 g_3=84285 Av_11=39832515
12468573,12,2429731,476571869,476571869,PASS,0.153484,tau=12468573 n=12 g_4=2429731 Av_12=476571869
12468735,11,84293,39832507,39832507,PASS,0.006709,tau=12468735 n=11 g_3=84293 Av_11=39832507
12468735,12,2430549,476571051,476571051,PASS,0.149705,tau=12468735 n=12 g_4=2430549 Av_12=476571051
12468753,11,84287,39832513,39832513,PASS,0.007357,tau=12468753 n=11 g_3=84287 Av_11=39832513
12468753,12,2429931,476571669,476571669,PASS,0.163369,tau=12468753 n=12 g_4=2429931 Av_12=476571669
12473568,11,84368,39832432,39832432,PASS,0.007023,tau=12473568 n=11 g_3=84368 Av_11=39832432
12473568,12,2433731,476567869,476567869,PASS,0.144724,tau=12473568 n=12 g_4=2433731 Av_12=476567869
12473586,11,84454,39832346,39832346,PASS,0.006988,tau=12473586 n=11 g_3=84454 Av_11=39832346
12473586,12,2438117,476563483,476563483,PASS,0.148646,tau=12473586 n=12 g_4=2438117 Av_12=476563483
12473658,11,84281,39832519,39832519,PASS,0.007047,tau=12473658 n=11 g_3=84281 Av_11=39832519
12473658,12,2429209,476572391,476572391,PASS,0.162423,tau=12473658 n=12 g_4=2429209 Av_12=476572391
12473685,11,84458,39832342,39832342,PASS,0.009969,tau=12473685 n=11 g_3=84458 Av_11=39832342
12473685,12,2438542,476563058,476563058,PASS,0.156547,tau=12473685 n=12 g_4=2438542 Av_12=476563058
12473856,11,84375,39832425,39832425,PASS,0.006981,tau=12473856 n=11 g_3=84375 Av_11=39832425
12473856,12,2434469,476567131,476567131,PASS,0.170070,tau=12473856 n=12 g_4=2434469 Av_12=476567131
12473865,11,84378,39832422,39832422,PASS,0.006893,tau=12473865 n=11 g_3=84378 Av_11=39832422
12473865,12,2434738,476566862,476566862,PASS,0.149769,tau=12473865 n=12 g_4=2434738 Av_12=476566862
12475368,11,84457,39832343,39832343,PASS,0.006917,tau=12475368 n=11 g_3=84457 Av_11=39832343
12475368,12,2438444,476563156,476563156,PASS,0.195025,tau=12475368 n=12 g_4=2438444 Av_12=476563156
12475386,11,84462,39832338,39832338,PASS,0.007089,tau=12475386 n=11 g_3=84462 Av_11=39832338
12475386,12,2438951,476562649,476562649,PASS,0.146276,tau=12475386 n=12 g_4=2438951 Av_12=476562649
12475638,11,84291,39832509,39832509,PASS,0.010454,tau=12475638 n=11 g_3=84291 Av_11=39832509
12475638,12,2430283,476571317,476571317,PASS,0.152088,tau=12475638 n=12 g_4=2430283 Av_12=476571317
12475683,11,84286,39832514,39832514,PASS,0.009922,tau=12475683 n=11 g_3=84286 Av_11=39832514
12475683,12,2429846,476571754,476571754,PASS,0.165526,tau=12475683 n=12 g_4=2429846 Av_12=476571754
12475836,11,84463,39832337,39832337,PASS,0.007185,tau=12475836 n=11 g_3=84463 Av_11=39832337
12475836,12,2439089,476562511,476562511,PASS,0.145470,tau=12475836 n=12 g_4=2439089 Av_12=476562511
12475863,11,84285,39832515,39832515,PASS,0.006857,tau=12475863 n=11 g_3=84285 Av_11=39832515
12475863,12,2429723,476571877,476571877,PASS,0.145161,tau=12475863 n=12 g_4=2429723 Av_12=476571877
